成员,时间,内容
Cheng,2026-01-16 22:29:53,放心吧宝宝，你的胃袋没我这么大
Xian,2026-01-16 22:30:08,?
Xian,2026-01-18 15:40:32,@小米康 @伍子軒 你们怎么在双排
Wu,2026-01-18 15:55:59,沒啊
Wu,2026-01-18 15:56:11,我匹配他排位
Xian,2026-01-18 15:57:07,这么巧吗
Xian,2026-01-18 15:57:16,我看你俩都开8分钟
Xian,2026-01-18 15:57:25,我还以为你俩一起嘞
Xian,2026-01-18 18:16:13,你也没有在群里说话啊
Evelyn,2026-01-18 18:16:22,我在isp说话了
Evelyn,2026-01-18 18:17:08,诶 真好 没组局玩游戏都有人理我
Evelyn,2026-01-18 18:19:42,谁玩愉快的鹅鸭杀/狼人杀/谁是卧底/…？
Bao,2026-01-18 18:21:08,玩
Xian,2026-01-18 18:21:22,人够吗话说
Xian,2026-01-18 18:30:49,那我先开几把三角洲了
Cheng,2026-01-18 19:12:46,工作日后的假期早晨
Evelyn,2026-01-18 19:43:12,108685163
Evelyn,2026-01-18 19:43:16,密码6个1
Evelyn,2026-01-18 19:43:24,其实每次进的都是这个房间
Xian,2026-01-18 19:43:51,所以我们是8点再进去对吧
Evelyn,2026-01-18 19:44:39,你要是想现在进
Evelyn,2026-01-18 19:44:42,我也不拦你
Gao,2026-01-18 20:01:45,人呢
Sev,2026-01-18 20:24:35,卡掉线了
Xian,2026-01-18 20:25:43,一人保两狼？？？
Xian,2026-01-18 20:36:07,什么情况了
Xian,2026-01-18 20:36:10,怎么超级卡
Xian,2026-01-18 20:36:22,是服务器问题？
Evelyn,2026-01-18 20:36:55,我连我咋死的都不知道
Evelyn,2026-01-18 20:36:58,巨巨巨卡
Wang,2026-01-18 20:37:06,崔掉线了吗
Evelyn,2026-01-18 20:37:20,我一做任务，就转圈圈
Evelyn,2026-01-18 20:37:25,然后就死了
Sev,2026-01-18 20:37:43,卡卡卡
Xian,2026-01-18 20:37:48,我开局就掉线了
Xian,2026-01-18 20:38:01,你们也卡？
Wang,2026-01-18 20:38:27,一直卡
Xian,2026-01-18 20:38:29,我退出游戏都两三次了、
Xian,2026-01-18 20:38:35,还是超级卡
Xian,2026-01-18 20:38:47,是这一把有问题吗，还是说什么的
Evelyn,2026-01-18 20:38:54,就这一把卡
Evelyn,2026-01-18 20:39:01,上把不卡
Evelyn,2026-01-18 20:39:09,上把我多C
Xian,2026-01-18 20:39:12,或者说直接退出游戏，重新进房间重来？
Xian,2026-01-18 20:39:37,我没观战了，我在小屋等你们
Evelyn,2026-01-18 20:41:58,退出重进吧一会
Xian,2026-01-18 20:42:09,你们现在还卡？
Evelyn,2026-01-18 20:42:23,讨论不卡
Evelyn,2026-01-18 20:42:30,他们说自己做任务卡
Xian,2026-01-18 20:42:30,哦哦
Evelyn,2026-01-18 20:42:43,我第一个死的，你问我卡不卡
Xian,2026-01-18 20:42:47,直接设置退出游戏呗
Xian,2026-01-18 20:42:52,我不也死了吗
Xian,2026-01-18 20:43:03,我都不知道我死了
Evelyn,2026-01-18 20:43:04,最会玩的三个人不在了
Xian,2026-01-18 20:47:24,打完叫我
Xian,2026-01-18 20:47:36,看来打完了
Evelyn,2026-01-18 20:51:04,杀了我，谁保你们
Xian,2026-01-18 20:51:45,防止你一好保俩狼
Gao,2026-01-18 20:59:34,@李弦老公 我亏对江东父老
Cheng,2026-01-18 21:01:16,怎么还有王者的背景音哈哈
Cheng,2026-01-18 21:01:51,老包太会跑了
Bao,2026-01-18 21:03:03,拉开距离这一块
Bao,2026-01-18 21:03:07,保持距离这一块
Xian,2026-01-18 21:26:28,六百六十六
Cheng,2026-01-18 21:26:29,这两把太抽象了
Xian,2026-01-18 21:26:34,崔还没搞清楚
Xian,2026-01-18 21:26:37,状况
Cheng,2026-01-18 21:26:43,不行了，我要好好打一把
Cheng,2026-01-18 21:26:49,哈哈哈哈哈哈
Xian,2026-01-18 21:26:57,模仿者是坏人内鬼
Cheng,2026-01-18 21:27:00,8号你是坏人！
Bao,2026-01-18 21:27:40,偷偷杀我
Wang,2026-01-18 21:32:18,卧槽
Wang,2026-01-18 21:32:19,我怎么卡了
Wang,2026-01-18 21:32:21,我一直在转圈
Xian,2026-01-18 21:32:35,我还好
Xian,2026-01-18 21:32:38,我一点也不卡
Bao,2026-01-18 21:57:03,有傻子
Wang,2026-01-18 22:04:25,乐
Xian,2026-01-18 22:46:02,我和轩不打了
Xian,2026-01-18 22:46:05,你们加油
Xian,2026-01-18 22:46:09,好晚好晚了
Bao,2026-01-18 22:47:04,我就知道
Xian,2026-01-18 22:47:14,咋了？
Xian,2026-01-18 22:47:17,打完了？
Xian,2026-01-18 22:47:19,这么快
Bao,2026-01-18 22:47:21,没有
Bao,2026-01-18 22:47:27,我就知道你俩咋死的
Bao,2026-01-18 22:47:31,把我投了
Xian,2026-01-18 22:47:33,对
Bao,2026-01-18 22:47:48,没有游戏体验可言
Xian,2026-01-18 22:48:01,没有游戏体验可言
Wang,2026-01-18 22:54:37,崔姐笑到了最后
Xian,2026-01-18 22:54:49,咋了
Evelyn,2026-01-18 22:55:53,权威
Evelyn,2026-01-18 22:56:23,MVP理所当然👍
Gao,2026-01-18 22:56:35,杀手的职业
Evelyn,2026-01-18 23:01:54,收到
Evelyn,2026-01-18 23:01:56,下次一定
Xian,2026-01-19 00:45:44,？
Sev,2026-01-19 00:46:23,我已经找到了更好的学习方法
Xian,2026-01-19 01:24:51,你不是要睡了吗
Xian,2026-01-19 01:24:57,你怎么还在
Xian,2026-01-19 02:09:46,@复制粘贴吧黄牌
Cheng,2026-01-19 11:10:11,可爱捏
Cheng,2026-01-19 11:38:04,王哥，您能教教我springsecurity吗？
Cheng,2026-01-19 15:44:02,我的对象呢？
Wang,2026-01-19 15:44:12,new一个出来
Xian,2026-01-19 15:44:51,new一个出来
Kang,2026-01-19 16:02:38,new一个出来
Sev,2026-01-19 16:03:45,new一个出来
Cheng,2026-01-19 16:16:07,如果让我谈上甜甜的恋爱
Cheng,2026-01-19 16:16:20,我敲springboot我都愿意啊
Xian,2026-01-19 16:17:48,如果让我谈上甜甜的恋爱
Xian,2026-01-19 16:18:05,我就算每天开劳斯莱斯我也愿意啊
Cheng,2026-01-19 16:20:17,我的抽象二次元女友在哪里？
Cheng,2026-01-19 16:21:01,难道我只能苦修prompt 工程了吗？
Xian,2026-01-19 18:43:10,今天还有鹅鸭杀吗
Xian,2026-01-19 18:43:14,没有的话就没事了
Gao,2026-01-19 19:35:19,@任何人都不许忤逆Wilson 是的你看
Gao,2026-01-19 19:35:25,马上第二周就给转了
Evelyn,2026-01-19 19:35:38,你的意思是
Evelyn,2026-01-19 19:35:52,我需要后天先去pre15分钟
Evelyn,2026-01-19 19:36:14,然后再转战另一个教室的和constance跨服交流吗
Gao,2026-01-19 19:36:32,啊呃
Gao,2026-01-19 19:36:37,那你得想办法解决了
Gao,2026-01-19 19:36:44,他已经给我发短信了
Evelyn,2026-01-19 19:37:11,解决不了
Evelyn,2026-01-19 19:37:22,我给Jacky发email被驳回了
Bao,2026-01-19 19:51:09,人际交往吗，有点意思
Bao,2026-01-19 19:51:15,建议让我来讲
Bao,2026-01-19 19:51:20,给我发工资吧
Evelyn,2026-01-19 20:05:16,你去把constance换下来
Evelyn,2026-01-19 20:05:23,然后给我考试答案
Bao,2026-01-19 20:06:38,那你不得巴结我一下
Bao,2026-01-19 20:06:42,求我
Evelyn,2026-01-19 20:09:04,？
Evelyn,2026-01-19 20:09:13,威胁吗
Evelyn,2026-01-19 20:09:17,有意思
Evelyn,2026-01-19 20:09:20,求你
Bao,2026-01-19 20:10:27,GPAlover
Bao,2026-01-19 20:10:49,等我回来给你们讲算法或者赌博
Bao,2026-01-19 20:11:03,ai赌马赌球股票什么的
Evelyn,2026-01-19 20:13:12,鲍师傅吗
Evelyn,2026-01-19 20:13:14,有意思
Evelyn,2026-01-19 20:13:19,你开直播
Evelyn,2026-01-19 20:13:24,我给你刷大火箭
Bao,2026-01-19 20:14:11,赌马倍率巨高
Bao,2026-01-19 20:14:23,最高是9900倍
Bao,2026-01-19 20:14:31,Dennis10块钱赢了9w
Bao,2026-01-19 20:28:13,真
Bao,2026-01-19 20:28:37,几个人在办公室说了一个小时ai赌马赌球股票基金什么的
Bao,2026-01-19 20:28:48,他拿ai做了两年赚了几万块钱
Bao,2026-01-19 20:28:59,本科的时候做外汇交易
Gao,2026-01-19 20:29:01,为什么ai这么准
Bao,2026-01-19 20:33:51,不是很准
Bao,2026-01-19 20:34:06,港中文一个教授ai赌马赚了几个亿
Bao,2026-01-19 20:34:14,挺有名的新闻
Bao,2026-01-19 20:34:20,不过他说很花时间
Bao,2026-01-19 20:34:30,不值得赚那几万块钱
Bao,2026-01-19 20:34:46,我来做着玩玩
Bao,2026-01-19 20:36:16,不过就是很简单的regression
Evelyn,2026-01-19 20:47:22,谁想玩一句酣畅淋漓的贪吃蛇
Evelyn,2026-01-19 21:34:31,群里好安静 给大家看帅哥
Bao,2026-01-19 22:41:28,第一次坐战斗机
Bao,2026-01-19 22:41:49,值回票价了[强]
Cheng,2026-01-19 22:48:41,🤣
Cheng,2026-01-19 22:48:48,哪个航司的
Bao,2026-01-19 22:50:34,上海航空
Bao,2026-01-19 22:59:19,886
Cheng,2026-01-19 23:16:23,🎶你已经远远离开，我也会慢慢走开～🎶
Cheng,2026-01-19 23:18:18,@掉线ing 这个征服王有点圈粉啊
Cheng,2026-01-19 23:18:20,好帅、
Bao,2026-01-19 23:24:25,其实我最喜欢的角色真的是男神（
Wang,2026-01-20 13:12:27,理工第一个四人组出现了
Cheng,2026-01-20 13:12:50,王哥拿下了啊
Wang,2026-01-20 13:13:18,四人组功能少不少啊
Cheng,2026-01-20 13:13:19,从从帮嘛
Xian,2026-01-20 13:13:46,谁把这几个字放到我的手机上面的！
Xian,2026-01-20 13:14:00,我可是一个字都不敢听啊
Cheng,2026-01-20 13:16:37,王哥来到MPU，便一手叉腰，一手抚在胸口，款款地道：‘今天我啊，来到MPU，是来指导同志们工作滴~’
Wang,2026-01-20 13:16:45,我听着呢
Cheng,2026-01-20 13:18:46,再写点我微信号难保
Cheng,2026-01-20 13:41:41,@李弦老公 宝宝，我可以屁兜你嘛？
Cheng,2026-01-20 13:43:10,诶？圣诞节不是过了吗？
Bao,2026-01-20 13:43:59,韩国签证也太快了吧
Bao,2026-01-20 13:47:41,又下雪了
Cheng,2026-01-20 13:49:29,克里斯缇娜老哥在首尔错误地发起了社会主义编程新模式
Bao,2026-01-20 13:53:46,没有缇娜啦！
Cheng,2026-01-20 13:54:09,兄弟，你有点可爱
Sev,2026-01-20 14:53:38,kim怎么还quiz啊
Sev,2026-01-20 14:53:52,来晚了
Evelyn,2026-01-20 15:00:01,怕你迟到
Evelyn,2026-01-20 15:00:04,特地quiz的
Evelyn,2026-01-20 15:00:07,10分呢
Morty,2026-01-20 15:06:54,10分呢
Cheng,2026-01-20 15:07:04,就1分而已
Evelyn,2026-01-20 15:40:13,对，一次一分
Sev,2026-01-20 15:45:04,每节课都测吗
Morty,2026-01-20 17:06:26,基本上
Kang,2026-01-20 17:18:09,好困
Evelyn,2026-01-20 17:21:59,我也困
Morty,2026-01-20 21:23:45,？
Evelyn,2026-01-20 21:23:53,其实我有一记
Morty,2026-01-20 21:23:54,崔姐卜要吓我
Evelyn,2026-01-20 21:24:36,你们可以这么跑
Morty,2026-01-20 21:25:24,有没有一种可能
Morty,2026-01-20 21:25:28,一圈五公里呢
Wang,2026-01-20 21:25:41,？
Evelyn,2026-01-20 21:25:48,跑半圈吗？
Evelyn,2026-01-20 21:26:02,我朋友叫我在终点前200米到她
Cheng,2026-01-20 21:26:03,吓尿了
Evelyn,2026-01-20 21:26:16,合着我为了带她得先干2.7km吗
Morty,2026-01-20 21:26:17,@任何人都不许忤逆Wilson 你真要把人吓死了
Morty,2026-01-20 21:26:23,我真得控制你了
Evelyn,2026-01-20 21:26:58,我也可以最后200米带你
Evelyn,2026-01-20 21:27:08,200米跑进50秒我还是可以做到的
Cheng,2026-01-20 21:27:13,崔姐别搞我心态了
Morty,2026-01-20 21:27:16,我害怕
Evelyn,2026-01-20 21:27:18,算了 100米吧
Cheng,2026-01-20 21:33:03,很难跑下来了
Xian,2026-01-20 21:33:08,诶我有一个想法
Evelyn,2026-01-20 21:33:11,我还有一记
Evelyn,2026-01-20 21:33:14,计
Xian,2026-01-20 21:33:26,有没有可能这就是学校压分的战术
Xian,2026-01-20 21:33:36,把满分拉得很高
Xian,2026-01-20 21:33:46,但是其实只要跑完了就八九十分
Evelyn,2026-01-20 21:33:53,就是这样的
Evelyn,2026-01-20 21:34:14,体育低不过A-
Evelyn,2026-01-20 21:34:18,A也不好拿
Xian,2026-01-20 21:34:18,单纯的不想让学生这门科出现满分的情况
Morty,2026-01-20 21:34:34,那我也要歇逼了
Cheng,2026-01-20 21:34:40,2.5不好跑的
Xian,2026-01-20 21:35:01,我还是按之前有人说12分钟的速度来算的
Evelyn,2026-01-20 21:35:03,可以打车打一圈
Morty,2026-01-20 21:35:07,崔姐能不能替我跑。。。。。
Morty,2026-01-20 21:35:16,两个出口隔着还不到500m
Xian,2026-01-20 21:35:19,自己掐表到底是怎么算的啊
Xian,2026-01-20 21:35:42,跑一圈，然后自己随便和老师说一个数？
Evelyn,2026-01-20 21:35:51,那可以爬出去吗
Evelyn,2026-01-20 21:36:01,我记得水塘好像有灌木丛
Xian,2026-01-20 21:36:06,还是说老师每个人都发一个表？
Evelyn,2026-01-20 21:36:06,应该能爬出去吧
Morty,2026-01-20 21:36:09,死定了。。。。
Evelyn,2026-01-20 21:36:21,我上次遛狗，狗差点爬出去
Xian,2026-01-20 21:36:29,视野
Evelyn,2026-01-20 21:36:44,他怎么知道你是不是他的学生
Xian,2026-01-20 21:37:04,那大白天这个点不上班，还在水塘待着的
Morty,2026-01-20 21:37:06,可以这样
Morty,2026-01-20 21:37:10,崔姐在起点跑
Morty,2026-01-20 21:37:18,我躲在终点边上
Xian,2026-01-20 21:37:22,除了老人还有谁？
Morty,2026-01-20 21:37:25,差不多时间我就过去
Evelyn,2026-01-20 21:37:54,去了趟泰国吗
Evelyn,2026-01-20 21:37:57,那很有意思了
Evelyn,2026-01-20 21:38:35,我又有一计，
Evelyn,2026-01-20 21:38:38,你可以游过去
Xian,2026-01-20 21:38:52,你说有没有可能可以找代跑
Xian,2026-01-20 21:39:01,我们学校有学体育的吗
Xian,2026-01-20 21:39:18,哦不对，只怕是体育老师都认得
Xian,2026-01-20 21:39:56,那很地狱了
Evelyn,2026-01-20 21:40:33,我还有一计
Evelyn,2026-01-20 21:40:35,[憨笑]
Xian,2026-01-20 21:40:40,就随心跑吧，累了就停下
Xian,2026-01-20 21:40:52,如果真是这个标准，反正也不能满分
Evelyn,2026-01-20 21:40:55,偷个滑板得了
Evelyn,2026-01-20 21:42:17,合理
Xian,2026-01-20 21:42:46,这明显看起来很不合理啊喂！
Cheng,2026-01-20 21:43:03,我们完蛋了、
Cheng,2026-01-20 21:43:07,我们完蛋了
Evelyn,2026-01-20 21:43:08,我还有一计
Cheng,2026-01-20 21:43:13,我们完蛋来了
Evelyn,2026-01-20 21:43:23,@小可 你去找那个和你很像的弟弟，跟你接力
Evelyn,2026-01-20 21:43:29,这个应该真能行
Morty,2026-01-20 21:44:16,到底像在哪了
Morty,2026-01-20 21:44:19,我咋没看出来呢
Evelyn,2026-01-20 21:44:44,他咋看得见你在对面干啥
Xian,2026-01-20 21:45:01,这倒是的，人的脸确实看不清
Evelyn,2026-01-20 21:45:07,不然你问问康康会不会骑摩托 捎一路
Bao,2026-01-20 21:45:55,9分钟2.5？？？？
Xian,2026-01-20 21:47:28,他指望一群两年没上过体育课的人跑成这样
Cheng,2026-01-20 21:48:05,我相信是崔姐的假情报
Bao,2026-01-20 21:48:55,还好我不用跑
Bao,2026-01-20 21:48:58,嘿嘿嘿
Bao,2026-01-20 21:49:08,我家小区旁边的公园一圈5km
Bao,2026-01-20 21:49:23,还有一个环山带爬坡的10km
Xian,2026-01-20 21:49:33,上一个听说有一好保俩狼这么悬的人设
Xian,2026-01-20 21:49:43,还是下雨萧敬腾
Kang,2026-01-20 21:50:02,松山一圈1.7公里
Xian,2026-01-20 21:50:07,和热搜汪峰
Xian,2026-01-20 21:50:21,1.5km就够我喝一壶了
Cheng,2026-01-20 21:50:37,汪峰又来了？
Xian,2026-01-20 21:50:54,没来，我只是说这么难立的人设
Cheng,2026-01-20 21:50:55,1.5是我的极限了
Evelyn,2026-01-20 21:50:59,套过我一圈
Kang,2026-01-20 21:51:02,我一圈都得把我累死
Xian,2026-01-20 21:51:56,我明天一定要跑吗
Bao,2026-01-20 21:52:27,不知道，反正我要开始跑了
Bao,2026-01-20 21:52:40,不过还没试过冬天跑步🏃
Xian,2026-01-20 21:53:10,我周四有补习
Xian,2026-01-20 21:53:19,我10点才能回来
Cheng,2026-01-20 21:54:11,弦哥，我也想给美少女补习
Xian,2026-01-20 21:54:40,-2+(-9)=2
Evelyn,2026-01-20 21:55:11,我周四还约了广外的
Xian,2026-01-20 21:56:16,那还好啦，至少不会缺人
Evelyn,2026-01-20 21:57:24,你不在第一个刀谁我都不知道了
Bao,2026-01-20 21:57:41,我也不在我想
Bao,2026-01-20 21:57:49,回家就有事干了
Evelyn,2026-01-20 21:58:51,想您的
Evelyn,2026-01-20 21:59:04,主要是想您的饭
Bao,2026-01-20 21:59:26,你们可以一人请一次轮着来
Evelyn,2026-01-20 21:59:40,OK
Evelyn,2026-01-20 21:59:42,那我先来
Evelyn,2026-01-20 21:59:49,我请大家吃疯狂星期四
Evelyn,2026-01-20 21:59:59,我们降低一下档次吧
Bao,2026-01-20 22:00:12,可以把我摆在靠窗的单人位吗
Bao,2026-01-20 22:00:19,我一直喜欢坐那里
Cheng,2026-01-20 22:04:58,想死了
Evelyn,2026-01-20 22:05:43,我陪你跑
Evelyn,2026-01-20 22:06:13,有滑板车吗，给我来一辆
Morty,2026-01-20 22:10:02,崔姐掐晕监考老师
Morty,2026-01-20 22:10:07,这样我们都能及格了
Evelyn,2026-01-20 22:14:20,我愿意一试
Evelyn,2026-01-20 22:15:05,我和一个练体育的比摔跤吗
Evelyn,2026-01-20 22:15:14,那很经摔了
Wang,2026-01-20 22:17:51,自己掐表是什么意思
Wang,2026-01-20 22:17:57,大家一起跑
Wang,2026-01-20 22:18:09,比我先到终点的12分钟
Wang,2026-01-20 22:18:16,结果我比他后到我只有9分钟吗
Evelyn,2026-01-20 22:21:36,错了
Evelyn,2026-01-20 22:21:39,是我的话
Evelyn,2026-01-20 22:21:46,我甚至能掐出6分钟
Bao,2026-01-20 22:24:58,萌的不知天地为何物
Cheng,2026-01-20 22:27:11,完蛋了完蛋了
Bao,2026-01-20 22:34:06,我去
Bao,2026-01-20 22:34:10,我的class time没有了
Bao,2026-01-20 22:34:26,看来是彻底被切割咧
Wang,2026-01-20 22:34:40,你是谁
Wang,2026-01-20 22:34:45,你是我们MPU的吗
Evelyn,2026-01-20 22:36:14,是不是要踢出群呀
Evelyn,2026-01-20 22:36:24,毕竟不是mpu[调皮]
Bao,2026-01-20 22:36:32,我会自己离开
Bao,2026-01-20 22:36:38,维护我最后的体面
Evelyn,2026-01-20 22:36:46,不准
Evelyn,2026-01-21 10:53:00,讲马
Bao,2026-01-21 10:53:43,看上去有点无聊
Bao,2026-01-21 10:54:00,我以为是讲群体行为的呢
Bao,2026-01-21 10:54:06,社会心理学
Evelyn,2026-01-21 10:54:28,社会学的prerequisite是心理和人际关系
Bao,2026-01-21 10:54:40,那为啥可以直接上
Evelyn,2026-01-21 10:55:05,就是叫做，最好学过这两门
Evelyn,2026-01-21 10:55:12,要是没有，也没招
Bao,2026-01-21 10:55:22,噗嗤
Evelyn,2026-01-21 10:55:30,我跑6分钟，你有我快吗
Bao,2026-01-21 10:55:33,人际关系是学什么的
Bao,2026-01-21 10:56:19,self management吗
Evelyn,2026-01-21 10:56:24,第一排也有人坐吗
Evelyn,2026-01-21 10:56:26,那很刺激了
Gao,2026-01-21 10:56:47,那是袁老师
Gao,2026-01-21 10:56:50,你怎么说话呢
Gao,2026-01-21 10:56:56,总共三排座
Bao,2026-01-21 10:57:13,比较好笑的是这本自控力我好像没看完来着
Bao,2026-01-21 10:57:29,也是佐证了我莫得自控力
Bao,2026-01-21 10:59:06,绝版书
Bao,2026-01-21 10:59:26,在我的书架上摆了可能有7，8年了
Evelyn,2026-01-21 10:59:48,constance说等我pre完了，她也讲完了
Bao,2026-01-21 11:00:56,这本书很好玩
Bao,2026-01-21 11:01:07,是我推理小说看入脑的时候买的
Bao,2026-01-21 11:01:13,符号大全
Evelyn,2026-01-21 11:10:55,Jacky让我留在社会学吧
Evelyn,2026-01-21 11:10:59,这个班帅哥好多
Gao,2026-01-21 11:11:47,好色之徒
Gao,2026-01-21 11:11:54,也不对
Gao,2026-01-21 11:11:56,应该怎么形容
Evelyn,2026-01-21 11:28:13,人之常情
Bao,2026-01-21 11:28:56,是审美有待提高
Evelyn,2026-01-21 11:36:11,帅是一种感觉
Evelyn,2026-01-21 11:36:15,你请客吃饭的时候
Evelyn,2026-01-21 11:36:17,也很帅
Gao,2026-01-21 11:38:59,可我们是A的
Gao,2026-01-21 11:39:12,和我遇到的欠钱不还是大爷比
Gao,2026-01-21 11:39:15,我不是更帅
Cheng,2026-01-21 11:40:13,高，你好帅
Evelyn,2026-01-21 12:03:46,王贯达的小组有一个巨帅的安静的沉默的帅哥
Evelyn,2026-01-21 12:03:53,谁能帮我要到他的联系方式
Xian,2026-01-21 12:05:08,那你为什么不直接找王贯达要呢
Xian,2026-01-21 12:05:18,你不是有他微信吗
Evelyn,2026-01-21 12:05:30,那我为什么不直接现在走到他面前
Evelyn,2026-01-21 12:05:33,问他
Gao,2026-01-21 12:05:47,显得你是个倒贴女
Evelyn,2026-01-21 12:05:52,同学，我可以加你微信吗
Bao,2026-01-21 12:11:59,搭讪都不会吗
Cheng,2026-01-21 12:13:36,搭讪都不会吗
Xian,2026-01-21 12:13:46,搭讪都不会吗
Evelyn,2026-01-21 12:13:49,那别说了
Evelyn,2026-01-21 12:14:01,兄弟，谈吗
Evelyn,2026-01-21 12:14:09,我a上去了
Bao,2026-01-21 12:14:12,这叫性骚扰
Gao,2026-01-21 12:14:17,这叫行骚扰
Evelyn,2026-01-21 12:14:32,666
Bao,2026-01-21 12:15:35,感觉崔哥是口嗨姐
Evelyn,2026-01-21 12:16:07,还行
Evelyn,2026-01-21 12:16:14,刚到群里平均水平吧
Gao,2026-01-21 12:16:29,并没有
Gao,2026-01-21 12:16:30,比如说我的
Gao,2026-01-21 12:16:33,我都是真的
Gao,2026-01-21 12:16:41,我拉高了全群的真实程度
Evelyn,2026-01-21 12:17:04,你指的是从上周开始就骂我，骂一周了吗
Evelyn,2026-01-21 12:17:07,那很真实了
Gao,2026-01-21 12:17:18,那为什么不真实呢
Evelyn,2026-01-21 12:17:20,[憨笑][憨笑]
Gao,2026-01-21 12:17:23,我真骂了
Gao,2026-01-21 12:17:25,你现在要了吗
Bao,2026-01-21 12:17:27,我的头像是不是有一种班味
Bao,2026-01-21 12:17:41,客服小绫为您服务
Gao,2026-01-21 12:17:52,没有
Gao,2026-01-21 12:17:57,像纯二次元
Bao,2026-01-21 12:18:03,？
Gao,2026-01-21 12:18:10,是的
Bao,2026-01-21 12:18:10,不是二次元也会买娃娃
Gao,2026-01-21 12:18:23,我不买娃娃
Gao,2026-01-21 12:18:33,没有见过这种头像的客服
Bao,2026-01-21 12:18:45,很像证件照呀
Bao,2026-01-21 12:18:53,要上班的工作证
Gao,2026-01-21 12:18:53,不标准
Gao,2026-01-21 12:18:54,重来
Bao,2026-01-21 12:18:59,萌萌的打工人
Bao,2026-01-21 12:19:28,不能对精心打扮的娃娃说这种话
Bao,2026-01-21 12:19:52,小嘴嘴一点都不甜哦
Wang,2026-01-21 13:09:34,你下一个不会觉得王贯达也很帅了吧
Xian,2026-01-21 13:09:59,有推荐的外卖吗
Xian,2026-01-21 13:10:02,我不想动了
Xian,2026-01-21 13:10:07,不想吃炸鸡
Wang,2026-01-21 13:11:06,我们整个宿舍吃的方便面
Xian,2026-01-21 13:11:54,那我吃屋里吧
Cheng,2026-01-21 13:15:10,@群之共主 你怎么能怎么说崔姐
Wang,2026-01-21 13:20:12,因为崔姐看上然后说帅的人
Wang,2026-01-21 13:20:18,我并没有觉得很帅
Cheng,2026-01-21 13:20:29,崔姐，王哥帅吗？
Wang,2026-01-21 13:20:40,？
Wang,2026-01-21 13:20:46,程哥发出绝招
Cheng,2026-01-21 13:22:30,崔姐，谢神帅吗？
Evelyn,2026-01-21 13:23:02,留给画师妹妹评价
Morty,2026-01-21 13:24:08,画室妹妹对我的评价异常之高啊
Cheng,2026-01-21 13:27:04,崔姐，弦哥帅吗？
Xian,2026-01-21 13:27:26,怎么突然拐到我身上了
Xian,2026-01-21 13:29:10,西西里人和张八筒筒太有意思了
Xian,2026-01-21 13:30:32,快看！
Xian,2026-01-21 13:30:39,太有意思了
Xian,2026-01-21 13:32:10,没有意思吗
Cheng,2026-01-21 13:32:16,喜欢视频同款直说
Cheng,2026-01-21 13:32:38,还是弦哥幻想自己是视频中的可爱妹妹
Xian,2026-01-21 13:33:19,觉得没有意思，怎么看都是你们的原因
Morty,2026-01-21 13:35:38,我超，冰
Evelyn,2026-01-21 13:36:08,想去韩国玩
Evelyn,2026-01-21 13:36:11,[可怜]
Bao,2026-01-21 13:38:00,过马路往右边看差点被创了
Wu,2026-01-21 22:29:35,送李弦的生日礼物
Cheng,2026-01-21 22:29:36,可爱捏
Xian,2026-01-21 22:44:52,@群之共主 你知道我要说什么的
Xian,2026-01-21 22:44:57,明天上午靠你了
Cheng,2026-01-21 22:45:03,？
Cheng,2026-01-21 22:45:09,我去
Cheng,2026-01-21 22:45:23,王哥，我腿跑断哩
Cheng,2026-01-21 22:45:28,明天上午交给你了
Wang,2026-01-21 22:47:15,交给我孩子们
Cheng,2026-01-21 22:47:30,站到王哥的背后
Cheng,2026-01-21 22:47:36,没关系
Cheng,2026-01-21 22:47:46,我感觉我明天可以爬到学校
Cheng,2026-01-21 22:47:55,（悲
Cheng,2026-01-21 22:48:10,我要上梁教授的课
Cheng,2026-01-21 23:28:16,王哥 @群之共主 你们还用spring吗？
Wang,2026-01-21 23:45:50,你说项目吗
Cheng,2026-01-21 23:47:49,是的
Wang,2026-01-21 23:48:34,用
Wang,2026-01-21 23:48:38,但只有我用
Cheng,2026-01-21 23:48:41,巨巨巨
Wang,2026-01-21 23:48:43,todd他想用rust
Cheng,2026-01-21 23:48:50,你写后端吗？
Wang,2026-01-21 23:48:52,他说java太冗杂了
Cheng,2026-01-21 23:48:57,不是       还有rust？
Cheng,2026-01-21 23:49:00,还真是
Wang,2026-01-21 23:50:25,真想干前端吧
Wang,2026-01-21 23:50:44,但是我们就四人组
Wang,2026-01-21 23:50:46,没其他人干了
Cheng,2026-01-21 23:50:57,你又想闻ui妹妹的小香风了？
Cheng,2026-01-21 23:52:09,感觉王哥会把button的颜色做成UI妹妹头发的颜色
Cheng,2026-01-21 23:52:17,记得妥善使用取色器
Wang,2026-01-21 23:57:02,程哥能教我react吗
Cheng,2026-01-22 00:00:46,教你怎么逆风闻小香风
Cheng,2026-01-22 00:27:26,？
Cheng,2026-01-22 00:45:58,@离离原上草 你唱
Cheng,2026-01-22 00:57:24,喜欢这句
Cheng,2026-01-22 00:57:26,kksk
Xian,2026-01-22 00:57:41,我看好多弹幕
Xian,2026-01-22 00:57:45,都有这个
Cheng,2026-01-22 00:58:27,喜欢这里
Xian,2026-01-22 00:58:40,嗦嘎嗦嘎
Cheng,2026-01-22 01:00:24,ed好听，喜欢🥰
Gao,2026-01-22 01:00:27,好了家人们
